id,proba,label
15740,0.008642477914690971,0
4796,0.9998949766159058,1
17203,0.8752892017364502,1
8179,0.9942926168441772,1
30941,0.26446297764778137,0
71840,0.003099935594946146,0
50921,5.736864750360837e-06,0
32489,0.07499456405639648,0
38794,0.9999691247940063,1
75310,0.999985933303833,1
76803,0.9992451667785645,1
60425,0.9999436140060425,1
13782,0.0007355226553045213,0
24890,0.996501088142395,1
3218,1.159842486231355e-05,0
2937,5.130621502758004e-05,0
60792,2.453781598887872e-05,0
63425,0.5271686315536499,1
96013,0.9999167919158936,1
68439,0.9924579858779907,1
38902,0.00020793502335436642,0
74863,0.9999129772186279,1
20396,0.0032307582441717386,0
51379,0.7184814214706421,1
71824,0.0002064785803668201,0
72360,0.9999945163726807,1
78093,0.998646080493927,1
93602,0.999921441078186,1
42698,0.9985958933830261,1
9257,0.0006219162605702877,0
74895,0.003637512680143118,0
54701,0.9999696016311646,1
32198,0.9319506287574768,1
60589,0.9999946355819702,1
96371,0.010591075755655766,0
59604,0.9923916459083557,1
34571,0.014529092237353325,0
60837,0.005696843843907118,0
12945,0.9793028235435486,1
73964,2.3273081751540303e-05,0
86423,0.00010188085434492677,0
43186,0.003260215977206826,0
49873,0.9788088202476501,1
49306,3.163412839057855e-05,0
40596,0.8441304564476013,1
4851,0.27078282833099365,0
86302,0.9999957084655762,1
59120,0.7779460549354553,1
52809,0.9999951124191284,1
50498,0.8917437195777893,1
6738,0.9999771118164062,1
8679,0.9621107578277588,1
8245,0.9667561650276184,1
59482,4.92745994051802e-06,0
70341,4.89368494527298e-06,0
24560,0.00036302313674241304,0
60158,7.167754120018799e-06,0
21658,0.9956592321395874,1
19870,0.0536426417529583,0
10536,0.026438085362315178,0
4567,0.20020395517349243,0
74308,0.8274111151695251,1
42609,0.058028995990753174,0
67209,0.9999951124191284,1
64019,0.9999895095825195,1
28069,0.015589142218232155,0
60534,0.8921706676483154,1
38601,4.17951523559168e-05,0
12804,0.9999945163726807,1
